Reference,Value,Footprint,JLCPCB Part #
"C1,C17",10u,0603,C19702
"C2,C3,C4,C5,C6,C8,C12,C16",100n,0603,C14663
C7,1u,0603,C15849
"C9,C10,C13,C14,C15",2.2u,0603,C23630
"D1,D2,D3",LED,0603,
FB1,Bead,0603,
J1,UART,MaleHeader_1x04_P2.54mm_Vertical,
J2,JTAG/SWJ,MaleHeader_2x10_P2.54mm_Vertical,
J22,BOOT,MaleHeader_1x02_P2.54mm_Vertical,
L1,4.7u,1008,
"Q1,Q2,Q3",Q_NMOS,SOT-23,
R1,10k,0603,
"R2,R3,R4,R12",1.1k,0603,
"R5,R10",115,0603,
"R6,R7,R8,R9",71.5,0603,
R11,4.3k,0603,
SW1,SW_Push,SW_PUSH_6mm,
U1,STM32F205RETx,LQFP-64,
U2,TLV74033PDBVR,SOT-23-5,
U3,LMR50410Y5FQDBVRQ1,SOT-23-6,
